id	filename	md5	size	state
632eb0d9-24ba-47dd-9878-c29a4f236cbf	54538c0f-80dd-43f5-8680-ce287afc6200.rna_seq.augmented_star_gene_counts.tsv	4d17ce0ace9d31636f7afc6f33ab1220	4210228	released
8d4acf54-be56-42ff-8451-4e539de3f40f	cf931a8f-115d-40b0-85e7-7b9dff21e149.rna_seq.augmented_star_gene_counts.tsv	71256469fd487b25aa24bff89e7d87a8	4215960	released
545b8af2-dd54-4a58-a468-2083d9845783	224466b5-ba3b-40ec-93d0-6f0ae691cb18.rna_seq.augmented_star_gene_counts.tsv	fa2235df3a60a2b4dfdbd43d7785a154	4215468	released
48bf696c-7d14-4d82-928c-7b09e7d851c2	3fa71d01-3662-41dc-be9a-6897eb41c4ab.rna_seq.augmented_star_gene_counts.tsv	b166dfc7bbeeb166388ad95f2582e696	4171103	released
21bcb6a3-aee0-4475-9009-4f36c6e58dbe	ee64798b-c340-4023-ab99-caeb15a36ca4.rna_seq.augmented_star_gene_counts.tsv	818d14c06b6577123edade90408130b6	4220330	released
8576ef54-c5ce-4d86-89f8-8ea7b956e0f2	657ef592-5353-406b-b0fd-9280e9a78ffa.rna_seq.augmented_star_gene_counts.tsv	8d32d6f18bd487840fe1b5af3cbcab0f	4208598	released
fb97e195-eb88-4e0d-be50-f057c8e38666	c2c2eede-8f3a-4118-a213-f5b7a8c6873a.rna_seq.augmented_star_gene_counts.tsv	b10b95a425605ae57ed20a3719533da3	4217273	released
6ad949c0-6b34-4905-b5b5-58fc23a0d11d	ae03adfe-1595-4d38-9506-c7c849188514.rna_seq.augmented_star_gene_counts.tsv	a29dd9495ae722cc36ed0dfec3042ab4	4155983	released
b8181f3b-0eea-41fb-b9d5-f108ca258d97	d94dbc12-2afb-42be-9f3c-4e34d75e4109.rna_seq.augmented_star_gene_counts.tsv	ab6dc02abf44c9a1b17e6c81b3928074	4175203	released
64c1456f-490e-4120-af57-8fd464e11c2c	b1e01793-c1fe-47b4-917f-aef8eb04470f.rna_seq.augmented_star_gene_counts.tsv	fb6f5f74c45b73dec7ea4ab942a5e8fe	4219571	released
a572da6c-733d-4d45-9897-bc1c560c8af2	6a63a0b3-de23-4fb8-b12d-6e1a279f68e1.rna_seq.augmented_star_gene_counts.tsv	1bf199c1f708763c62661aee663a36fe	4171670	released
ef1793e3-d2df-47dc-953b-9d5ae40e5e2d	016c3899-2871-44ad-8825-2f443f4ac5fa.rna_seq.augmented_star_gene_counts.tsv	26cc31cb0ef31f209ce671b411e3a4dd	4213237	released
a09af29f-4789-4d5e-85a8-6a6cc4a57d65	1c7ad71c-3fe4-4750-8b50-f0f9db732336.rna_seq.augmented_star_gene_counts.tsv	7896a82ee6ad94c264bdaf2c9f137857	4217769	released
f228ab1c-65d8-45d2-b8f6-d5702ff91da5	940018a8-5b5d-489a-b5d4-ebf6e24aeb18.rna_seq.augmented_star_gene_counts.tsv	17f98030dfef3e09ce2c250c18ca8e63	4245753	released
427d8a76-7200-4cfe-a30f-c01bc9759fe2	5213f864-205b-4251-bfeb-e1b68d7925ce.rna_seq.augmented_star_gene_counts.tsv	01dd58a5ed5ca074f7192e15c52ee005	4224911	released
75e22974-94dd-4a15-a16f-ae453051bb9f	95505b5a-5bc6-4012-9f11-0bd64295785e.rna_seq.augmented_star_gene_counts.tsv	f72bcfc8f1991a06647bb648d17a7d24	4205065	released
882b7165-a8da-4638-a67b-d7abc7c2b173	216ab4dd-b175-4b38-97bb-a7772e7e2c28.rna_seq.augmented_star_gene_counts.tsv	470d4992258369d9e63f1b2b5c997829	4231557	released
b54b23c4-9cdb-433f-9a74-805f314e596e	156bb00b-2a98-4356-833a-702489061896.rna_seq.augmented_star_gene_counts.tsv	984e918f7469cb04e6898887e67fa7b6	4247327	released
031fca65-076e-4377-9b8d-075803517a7d	e0cf697f-4856-42d6-a984-5cb4030ba9c9.rna_seq.augmented_star_gene_counts.tsv	83e846ca24cd501b74bfa30ebaf05d33	4193758	released
6811cdea-391f-4cff-b462-1ad5671b8114	6b4a649d-c14a-4fb4-89cf-7fcbe123b84b.rna_seq.augmented_star_gene_counts.tsv	3ce0e4ebe373896a12b62ecc971709ab	4207853	released
