gene_id	trimmed_mean_expression
ENSG00000007923.16	14.630232
ENSG00000007933.13	0.122405805
ENSG00000007944.15	120.68805
ENSG00000007952.18	0.14702038
ENSG00000007968.7	41.04216
ENSG00000008018.9	126.869255
ENSG00000008056.14	1.9885824
ENSG00000008083.14	142.36156
ENSG00000008086.13	1.2206043
ENSG00000008118.10	0.43208274
ENSG00000008128.23	4.3099523
ENSG00000008130.15	69.16217
ENSG00000008196.13	0.004251133
ENSG00000008197.5	0.004135665
ENSG00000008226.20	5.0610247
ENSG00000008256.16	12.625614
ENSG00000008277.14	2.0429535
ENSG00000008282.9	101.84372
ENSG00000008283.16	9.177678
ENSG00000008294.21	51.452457
ENSG00000008300.17	2.9168892
ENSG00000008311.15	1.4139183
ENSG00000008323.15	4.8455095
ENSG00000008324.12	12.61433
ENSG00000008382.16	11.933228
ENSG00000008394.13	25.15842
ENSG00000008405.12	15.504075
ENSG00000008438.5	204.56818
ENSG00000008441.18	44.45649
ENSG00000008513.16	53.881924
ENSG00000008516.17	19.866476
ENSG00000008517.18	8.682987
ENSG00000008710.20	18.949396
ENSG00000008735.14	0.30429617
ENSG00000008838.20	38.971786
ENSG00000008853.17	4.8406353
ENSG00000008869.12	45.98444
ENSG00000008952.17	44.998592
ENSG00000008988.11	375.69394
ENSG00000009307.16	456.29102
ENSG00000009335.18	30.018965
ENSG00000009413.16	19.908924
ENSG00000009694.13	4.552976
ENSG00000009709.12	0.009459507
ENSG00000009724.17	11.724906
ENSG00000009765.15	0.014289457
ENSG00000009780.16	11.503102
ENSG00000009790.15	23.331808
ENSG00000009830.12	5.237344
ENSG00000009844.16	14.6188
ENSG00000009950.16	0.8515886
ENSG00000009954.11	56.375134
ENSG00000010017.13	88.573105
ENSG00000010030.14	1.1279638
ENSG00000010072.16	12.268488
ENSG00000010165.20	16.476528
ENSG00000010219.13	2.6808386
ENSG00000010244.19	81.96387
ENSG00000010256.11	98.78709
ENSG00000010270.14	33.716763
ENSG00000010278.15	20.038383
ENSG00000010282.15	0.052791134
ENSG00000010292.13	49.24318
ENSG00000010295.20	22.01622
ENSG00000010310.9	1.9705946
ENSG00000010318.21	15.183359
ENSG00000010319.7	0.8003712
ENSG00000010322.16	50.594658
ENSG00000010327.10	115.15232
ENSG00000010361.14	10.096222
ENSG00000010379.16	0.7490861
ENSG00000010404.18	13.523517
ENSG00000010438.17	0.43366736
ENSG00000010539.12	2.5401337
ENSG00000010610.10	77.260956
ENSG00000010626.15	7.108163
ENSG00000010671.16	70.37851
ENSG00000010704.18	0.7319256
ENSG00000010803.16	36.777985
ENSG00000010810.17	31.692286
ENSG00000010818.10	14.921
ENSG00000010932.17	0.15519646
ENSG00000011007.12	30.306383
ENSG00000011009.11	54.001163
ENSG00000011021.23	21.502031
ENSG00000011028.14	23.528858
ENSG00000011052.21	0.0
ENSG00000011083.9	0.1546944
ENSG00000011105.14	0.98318374
ENSG00000011114.15	13.788206
ENSG00000011132.12	8.2746725
ENSG00000011143.19	2.5837684
ENSG00000011198.10	24.18371
ENSG00000011201.12	0.13459931
ENSG00000011243.18	50.519855
ENSG00000011258.16	31.845085
ENSG00000011260.14	47.036415
ENSG00000011275.19	45.235138
ENSG00000011295.16	40.22204
ENSG00000011304.22	137.87306
ENSG00000011332.19	0.8605542
ENSG00000011347.10	0.037747685
ENSG00000011376.12	9.366431
ENSG00000011405.13	28.097004
ENSG00000011422.12	95.72343
ENSG00000011426.11	17.971638
ENSG00000011451.21	15.756743
ENSG00000011454.18	21.947771
ENSG00000011465.18	0.18964167
ENSG00000011478.13	16.625635
ENSG00000011485.15	12.902548
ENSG00000011523.14	24.487833
ENSG00000011566.15	19.965254
ENSG00000011590.14	2.195318
ENSG00000011600.12	591.4568
ENSG00000011638.11	16.894793
ENSG00000011677.13	0.0095524145
ENSG00000012048.23	10.901089
ENSG00000012061.16	22.503336
ENSG00000012124.17	7.8682895
ENSG00000012171.20	2.1051385
ENSG00000012174.12	4.623196
ENSG00000012211.13	6.7509255
ENSG00000012223.13	566.9184
ENSG00000012232.9	7.5434313
ENSG00000012504.15	0.008740592
ENSG00000012660.14	98.82482
ENSG00000012779.11	87.66227
ENSG00000012817.16	27.301262
ENSG00000012822.16	31.592346
ENSG00000012963.15	26.980024
ENSG00000012983.11	27.036688
ENSG00000013016.16	8.856336
ENSG00000013275.8	71.2544
ENSG00000013288.9	29.503994
ENSG00000013293.6	0.01637202
ENSG00000013297.12	0.063398816
ENSG00000013306.16	134.68552
ENSG00000013364.19	42.503387
ENSG00000013374.16	39.387
ENSG00000013375.16	5.9216943
ENSG00000013392.8	1.4765779
ENSG00000013441.16	214.21074
