id	filename	md5	size	state
719e66ae-ab33-4bf3-b156-783b0ea63152	12d42ca5-8cf5-4658-a6a2-a0633f5690b2.rna_seq.augmented_star_gene_counts.tsv	629c0b46bc5ba0db6285b8dc402f8f18	4225419	released
9321b393-379d-4533-8894-3e8929a488f9	e543ad05-3cbf-44ff-9cd9-91568ef44b5c.rna_seq.augmented_star_gene_counts.tsv	f53c8eaeea04a1a57bbbedab856bff92	4173259	released
fd4d1be7-e759-4e56-a84b-487c55111872	f419bc87-26e0-4fdc-b395-0a2611835fcb.rna_seq.augmented_star_gene_counts.tsv	88cfc624c21c948f57f131d642e93d58	4228443	released
0029ae87-3ae5-4474-987a-9e35de046912	fe289f15-6965-4e4b-ae29-4693cf77b7a9.rna_seq.augmented_star_gene_counts.tsv	7bb1e7b805b48f9948a352cb2abbdcb0	4228660	released
7abb5570-3985-4d11-9839-b80ef1dff454	5aa68f14-8c51-4a48-b79f-a561ef0dc427.rna_seq.augmented_star_gene_counts.tsv	54b894eeb7bb38c4f31faa8eab028e72	4213502	released
e62d4a0d-458d-4484-9b44-69600f7de6f4	a0fcfb0c-914f-401e-ab0a-2a5672c28130.rna_seq.augmented_star_gene_counts.tsv	11f9b304a3c8f212c05cffc4e902ad88	4172545	released
002cacd9-c03b-4526-a380-0701f41c4a9e	0e7f5326-458e-4849-822d-b0d4e7684949.rna_seq.augmented_star_gene_counts.tsv	5987f58cc56254441fd1a73a6497338f	4192291	released
f5f6b5fd-2783-47ba-9f98-0514962da0b7	bf4c66ee-ca1d-4eb0-90c3-d12f1ad564fc.rna_seq.augmented_star_gene_counts.tsv	c93e80e3c3485debc048fea3e31f9971	4210277	released
4dd120cf-f1b1-481b-b172-ed5a9101988a	998bc6c9-616c-4ca2-a151-a12df4df22f2.rna_seq.augmented_star_gene_counts.tsv	161752c6e8a1cf57e3b517b1c8b61286	4190366	released
31241d21-8b4c-487b-bbc7-26dc3dd0e8aa	849bea4b-38da-4c52-b3a8-92e99af1a32d.rna_seq.augmented_star_gene_counts.tsv	59fc5e546ad41966f6d2c693cd07aed2	4222375	released
0f093fb0-b161-4e55-9f77-42a9b844ed6e	e727eac4-b5cb-45f4-9410-e8a1fdc20007.rna_seq.augmented_star_gene_counts.tsv	670752be9fbd17383ad3a0a3d96b42ef	4168324	released
dc684ea4-b39f-48e5-af96-fc890c1e7daa	36831ceb-347c-44e0-9fc1-84d63d9d3426.rna_seq.augmented_star_gene_counts.tsv	7525fa794911dcde209b1b5a4a0119cb	4220489	released
18566f1b-5931-4d72-9735-48531b4a1184	bbdeea2d-a44c-4ec6-b072-7fb7ba4cf35d.rna_seq.augmented_star_gene_counts.tsv	2fc1b199e144910850fe059e784f200e	4216467	released
3db56be8-b1a0-4d4b-96b8-a177129e6481	45e6de30-0423-4063-bc50-53132e1f3253.rna_seq.augmented_star_gene_counts.tsv	924dc5ebed6cdb85536ed471d3b0b42a	4208007	released
0d1388a0-af6b-436b-bf3a-7ad8fb85b838	2d90a554-acb6-4f2e-991d-bb037a45e5de.rna_seq.augmented_star_gene_counts.tsv	0460f07af4eefcebd6deb3fa10fd1b4a	4220278	released
390016a7-9813-480e-b4e1-f3f031eb6a78	b920528e-d896-4c3b-8fc7-6f53a364a8fc.rna_seq.augmented_star_gene_counts.tsv	c91e4509c82002dd17cdee0de7fbf616	4165487	released
70869e32-e831-41fd-a26d-d9454463c4c6	cc463f01-57cb-420d-94b8-523b2e7f69eb.rna_seq.augmented_star_gene_counts.tsv	1e2802e4e0193b59d1e568fff667d84d	4210243	released
b3121dc3-89bc-4d04-934e-15a0238bf525	5b955ae2-67a8-4be5-a0e1-409f2af53e9b.rna_seq.augmented_star_gene_counts.tsv	a7ac08af2b80b6109448e27a842d6308	4223075	released
5cc0805f-023e-4bfb-a259-e9f541bfc2a6	351d55fd-53b3-4990-ba82-0bd0778c7331.rna_seq.augmented_star_gene_counts.tsv	732834dcb1a6d83acbb1f20160921bd1	4228729	released
dcac9324-8ab7-45be-ae41-6fc64bad8a80	b2572cf2-dd72-42e4-857c-ad31eacdcb8d.rna_seq.augmented_star_gene_counts.tsv	3e035f75e9f6f0ce950589fdc4bdc5b3	4224803	released
9b3d4ad0-6298-41ed-acd1-5e62c8d52ebf	c66860cb-c3e5-4008-b343-8aad858b5cb2.rna_seq.augmented_star_gene_counts.tsv	e8bc343e81b072d8cd2054ed388d027e	4163087	released
dc5141fc-4084-4939-bf13-bafb841c55af	62a1e459-832a-40ff-8c6e-dd8b69b5eb9f.rna_seq.augmented_star_gene_counts.tsv	6fc23049fbe0bdaca9f91b2ace5e6bd8	4234948	released
28681c0b-437e-4f40-9e2d-5e9a188634a6	ad7aecff-3b98-4223-8fa7-7b2e971092ae.rna_seq.augmented_star_gene_counts.tsv	74be2b57c17db6775c7f6eabfa406218	4231456	released
90a5fb9b-4e10-4570-a7aa-1a056f76982e	1cef1827-1b73-47a0-9a39-03de3edecedf.rna_seq.augmented_star_gene_counts.tsv	50e17bc29e15d8775050fdae0606c63f	4170033	released
46a4d2a8-8393-49da-9723-4a2477787224	e9d733dc-502d-4387-bb0b-01d8a9c81c50.rna_seq.augmented_star_gene_counts.tsv	1ea977ccb279acb7e2dfc051caca733f	4161584	released
8799254a-b549-41a5-8f66-693809687f07	a25b093f-0b4b-408b-83f2-5fc577ec399b.rna_seq.augmented_star_gene_counts.tsv	638e21525d84352976aea5e1a0740bce	4199650	released
65d599a5-bd0c-4944-9a40-6044d361ab8f	36ab84e8-d445-427d-9648-1b92a8a83f64.rna_seq.augmented_star_gene_counts.tsv	f3bfcb768355265e3ad59fd791d0e8cf	4199740	released
37436464-7f4c-4599-86d4-900134c44431	cdc83302-e4d3-4b0d-b75d-a38edc5b5561.rna_seq.augmented_star_gene_counts.tsv	f9597be7be27caf92b76f1021007145c	4234296	released
f775dc9e-40a0-45a5-b15d-a7b166f3e5ff	e178db26-3dc0-4422-80ef-e3c90176a286.rna_seq.augmented_star_gene_counts.tsv	474f15696f3c870f384a2a0eb98ee0a9	4209231	released
